"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
349,348,"hoax","folklore","2020-07-24",16,"6MWoRt97mnSTXZhu3ggi9C",0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,63,220042
676,675,"I Wish You Would","1989 (Deluxe)","2014-01-01",7,"5gRYrtvyVyaCRvLt56OfuV",0.0158,0.653,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,0.513,63,207440
683,682,"Wonderland","1989 (Deluxe)","2014-01-01",14,"6RvRzl1YJTDnUvdOtV21IK",0.0493,0.422,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,0.197,63,245560
684,683,"You Are In Love","1989 (Deluxe)","2014-01-01",15,"2KrOAg6FftbjgSKdd2a4rS",0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,63,267106
861,860,"Mine","Speak Now","2010-10-25",1,"0dBW6ZsW8skfvoRfgeerBF",0.00265,0.624,0.757,1.87e-06,0.189,-2.94,0.0296,121.07,0.658,63,230706
77,76,"Holy Ground (Taylor's Version)","Red (Taylor's Version)","2021-11-12",11,"7J4b3LVCIGO4CMBDFLPoP6",0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,62,202960
79,78,"The Lucky One (Taylor's Version)","Red (Taylor's Version)","2021-11-12",13,"4e5ayHsOLJNLTGfjau2mEw",0.066,0.686,0.571,0,0.0608,-7.138,0.05,117.889,0.538,62,240466
93,92,"Forever Winter (Taylor's Version) (From The Vault)","Red (Taylor's Version)","2021-11-12",27,"3oGVx9RBmiYGv5ZCecWLkx",0.256,0.611,0.552,0,0.134,-5.828,0.031,116.012,0.41,62,263533
145,144,"The Other Side Of The Door (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",19,"1cSFlSBdpT4F5vb1frQ231",0.0279,0.432,0.873,0,0.167,-4.367,0.0577,163.936,0.629,62,238443
161,160,"coney island (feat. The National)","evermore (deluxe version)","2021-01-07",9,"2awNGIJHodfLZSClB3PYhz",0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,62,275320
208,207,"happiness","evermore","2020-12-11",7,"73YUReisjb3A9ActdLLjJQ",0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,62,315146
212,211,"cowboy like me","evermore","2020-12-11",11,"1XjHRolIXL2M1EEOUsGGR4",0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,62,275040
216,215,"evermore (feat. Bon Iver)","evermore","2020-12-11",15,"3O5osWf1rSoKMwe6E9ZaXP",0.937,0.39,0.27,0.00227,0.111,-10.673,0.0308,125.177,0.32,62,304106
346,345,"epiphany","folklore","2020-07-24",13,"08fa9LFcFBTcilB3iq2e2A",0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,62,289749
657,656,"Welcome To New York","1989","2014-01-01",1,"10nqz67NQWWa7XPq7ycihi",0.038,0.793,0.634,1.76e-06,0.304,-4.807,0.0324,117.023,0.615,62,212600
679,678,"How You Get The Girl","1989 (Deluxe)","2014-01-01",10,"0fM9dEhUFV4MHDuJgrcfOv",0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,0.545,62,247533
866,865,"Mean","Speak Now","2010-10-25",6,"5yEPktRqvIhko5QFF3aBhQ",0.452,0.568,0.761,0,0.217,-3.987,0.0459,163.974,0.789,62,237733
878,877,"Speak Now","Speak Now","2010-10-25",4,"7dXKdjpOaH2iwfFKmUj7aq",0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,0.742,62,240773
954,953,"Better Than Revenge","Speak Now (Deluxe Edition)","2010-10-25",10,"1By2VQkUN0Frd8mKNV5NYC",0.0139,0.516,0.917,6.37e-06,0.36,-3.186,0.0827,145.821,0.635,62,217160
1180,1179,"Teardrops On My Guitar - Radio Single Remix","Taylor Swift","2006-10-24",3,"7zMcNqs55Mxer82bvZFkpg",0.288,0.621,0.417,0,0.119,-6.941,0.0231,99.953,0.289,62,203040
81,80,"Starlight (Taylor's Version)","Red (Taylor's Version)","2021-11-12",15,"7A2cNLRT0YJc1yjxHlKihs",0.00324,0.628,0.685,0,0.18,-5.864,0.0358,126.014,0.605,61,220413
83,82,"The Moment I Knew (Taylor's Version)","Red (Taylor's Version)","2021-11-12",17,"0NRHj8hDwwmSPaA41o379r",0.0494,0.636,0.402,0,0.107,-7.855,0.031,125.952,0.208,61,285280
135,134,"You’re Not Sorry (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",9,"6iiAfo4wTA2CVC3Uwx9uh8",0.0538,0.506,0.444,0,0.123,-4.99,0.0285,133.873,0.241,61,261842
141,140,"Untouchable (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",15,"0tQ9vBYpldCuikPsbgOVKA",0.0181,0.393,0.531,0,0.169,-6.112,0.0329,200.391,0.224,61,312107
150,149,"That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)","2021-04-09",24,"7eResoqEJJAVTkQYSqvO3P",0.225,0.588,0.608,0,0.092,-7.062,0.0365,90.201,0.508,61,189495
151,150,"Don’t You (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)","2021-04-09",25,"4uuEGH5SVuzkkSFjo2DEiY",0.514,0.563,0.473,1.2e-05,0.109,-11.548,0.0503,101.934,0.405,61,208608
164,163,"long story short","evermore (deluxe version)","2021-01-07",12,"5VYWxXUpxuxEmCqMLDqICo",0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,61,215920
661,660,"All You Had To Do Was Stay","1989","2014-01-01",5,"4NNolUeL5m2ju7kf8pdg6H",0.00196,0.602,0.735,4.77e-05,0.105,-5.778,0.0337,96.969,0.472,61,193293
862,861,"Sparks Fly","Speak Now","2010-10-25",2,"6d9IiDcFxtFVIvt9pCqyGH",0.0396,0.605,0.787,1.42e-06,0.163,-3.002,0.0308,114.987,0.374,61,260933
867,866,"The Story Of Us","Speak Now","2010-10-25",7,"3RBluWmSoG2pGA1OePzGJI",0.00478,0.543,0.818,0.000368,0.0357,-3.611,0.0398,139.898,0.683,61,265666
1186,1185,"Should've Said No","Taylor Swift","2006-10-24",9,"16MVSD0mGI4RMQT83Qzm69",0.0103,0.476,0.777,0,0.196,-3.771,0.0289,167.964,0.472,61,242200
85,84,"Girl At Home (Taylor's Version)","Red (Taylor's Version)","2021-11-12",19,"0DMVrlMUn01M0IcpDbwgu7",0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,60,220520
133,132,"Breathe (feat. Colbie Caillat) (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",7,"7HC7R2D8WjXVcUHJyEGjRs",0.156,0.506,0.626,0,0.228,-6.066,0.0287,148.035,0.321,60,263377
160,159,"dorothea","evermore (deluxe version)","2021-01-07",8,"66tOfHVH3aUrscg8vExRV4",0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,60,225880
165,164,"marjorie","evermore (deluxe version)","2021-01-07",13,"5uICWmZTLkpEVbK22PBP6e",0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,60,257773
709,708,"All Too Well","Red (Deluxe Edition)","2012-10-22",5,"6GNRkaWUB0Lwc19SdkTgx8",0.0382,0.602,0.609,2e-04,0.128,-7.803,0.0243,93.06,0.337,60,329160
1178,1177,"Tim McGraw","Taylor Swift","2006-10-24",1,"0Om9WAB5RS09L80DyOfTNa",0.575,0.58,0.491,0,0.121,-6.462,0.0251,76.009,0.425,60,232106
86,85,"State Of Grace (Acoustic Version) (Taylor's Version)","Red (Taylor's Version)","2021-11-12",20,"5jAIouBES8LWMiriuNq170",0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,59,321640
134,133,"Tell Me Why (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",8,"0k0vFacOHNuArLWMiH60p7",0.0222,0.578,0.909,0,0.333,-3.669,0.0628,100.023,0.541,59,200575
